
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 2000
====== Angle Number  1 of 8: 0
====== Angle Number  2 of 8: 2.571429e+01
====== Angle Number  3 of 8: 5.142857e+01
====== Angle Number  4 of 8: 7.714286e+01
====== Angle Number  5 of 8: 1.028571e+02
====== Angle Number  6 of 8: 1.285714e+02
====== Angle Number  7 of 8: 1.542857e+02
====== Angle Number  8 of 8: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> ============================ Attenuation Transmission Reconstruction
   8      9     67    4.54769158e-07   7.6e-07     1.0e+00      3.925e+00
   9     10     77    4.22761685e-07   6.2e-07     1.0e+00      3.919e+00
  10     11     87    3.95139193e-07   6.9e-07     1.0e+00      3.912e+00
LMQNBC: termination 5
============================ Fluorescence Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    1.19673950e+00   5.4e+01     1.0e+00      3.748e-01
   1      2      3    1.04593814e+00   1.1e+01     1.0e+00      3.747e-01
   2      3      7    1.03748762e+00   1.3e+01     1.0e+00      3.747e-01
   3      4     14    1.02289954e+00   1.4e+01     1.0e+00      3.744e-01
   4      5     21    1.01687259e+00   9.2e+00     1.0e+00      3.743e-01
   5      6     31    9.98645028e-01   1.6e+01     1.0e+00      3.734e-01
   6      7     36    9.89081160e-01   6.9e+00     1.0e+00      3.734e-01
   7      8     40    9.87120302e-01   6.5e+00     1.0e+00      3.733e-01
   8      9     50    9.65983583e-01   1.5e+01     1.0e+00      3.724e-01
   9     10     58    9.55184155e-01   6.2e+00     1.0e+00      3.723e-01
  10     11     68    9.48581432e-01   1.3e+01     1.0e+00      3.722e-01
  11     12     78    9.44631263e-01   7.1e+00     1.0e+00      3.721e-01
  12     13     88    9.41063967e-01   1.4e+01     1.0e+00      3.719e-01
  13     14     98    9.37649883e-01   6.6e+00     1.0e+00      3.718e-01
  14     15    108    9.34435672e-01   1.3e+01     1.0e+00      3.717e-01
  15     16    118    9.31381802e-01   6.2e+00     1.0e+00      3.716e-01
  16     17    128    9.28475608e-01   1.2e+01     1.0e+00      3.715e-01
  17     18    138    9.25695282e-01   5.9e+00     1.0e+00      3.714e-01
  18     19    148    9.23034778e-01   1.2e+01     1.0e+00      3.713e-01
  19     20    158    9.20478533e-01   5.7e+00     1.0e+00      3.712e-01
  20     21    168    9.18023177e-01   1.1e+01     1.0e+00      3.711e-01
  21     22    178    9.15656629e-01   5.5e+00     1.0e+00      3.710e-01
  22     23    188    9.13376791e-01   1.1e+01     1.0e+00      3.709e-01
  23     24    198    9.11173816e-01   5.3e+00     1.0e+00      3.708e-01
  24     25    208    9.09046285e-01   1.1e+01     1.0e+00      3.707e-01
  25     26    218    9.06985937e-01   5.2e+00     1.0e+00      3.706e-01
  26     27    228    9.04991739e-01   1.0e+01     1.0e+00      3.705e-01
  27     28    238    9.03056665e-01   5.1e+00     1.0e+00      3.705e-01
  28     29    248    9.01179901e-01   1.0e+01     1.0e+00      3.704e-01
  29     30    258    8.99355442e-01   4.9e+00     1.0e+00      3.703e-01
  30     31    268    8.97582598e-01   1.0e+01     1.0e+00      3.702e-01
  31     32    278    8.95856245e-01   4.8e+00     1.0e+00      3.701e-01
  32     33    288    8.94175764e-01   9.8e+00     1.0e+00      3.700e-01
  33     34    298    8.92536796e-01   4.7e+00     1.0e+00      3.699e-01
  34     35    308    8.90938768e-01   9.6e+00     1.0e+00      3.698e-01
  35     36    318    8.89377988e-01   4.6e+00     1.0e+00      3.698e-01
  36     37    328    8.87853917e-01   9.4e+00     1.0e+00      3.697e-01
  37     38    338    8.86363432e-01   4.5e+00     1.0e+00      3.696e-01
  38     39    348    8.84906028e-01   9.2e+00     1.0e+00      3.695e-01
  39     40    358    8.83479059e-01   4.4e+00     1.0e+00      3.694e-01
  40     41    368    8.82082060e-01   9.0e+00     1.0e+00      3.693e-01
  41     42    378    8.80712777e-01   4.3e+00     1.0e+00      3.693e-01
  42     43    388    8.79370789e-01   8.9e+00     1.0e+00      3.692e-01
  43     44    398    8.78054162e-01   4.2e+00     1.0e+00      3.691e-01
  44     45    408    8.76762517e-01   8.7e+00     1.0e+00      3.690e-01
  45     46    418    8.75494186e-01   4.1e+00     1.0e+00      3.690e-01
  46     47    428    8.74248832e-01   8.5e+00     1.0e+00      3.689e-01
  47     48    438    8.73025001e-01   4.1e+00     1.0e+00      3.688e-01
  48     49    448    8.71822397e-01   8.4e+00     1.0e+00      3.687e-01
  49     50    458    8.70639742e-01   4.0e+00     1.0e+00      3.686e-01
  50     51    468    8.69476781e-01   8.2e+00     1.0e+00      3.685e-01
LMQNBC: termination 5
============================ Attenuation Transmission Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    2.77688995e-05   2.1e-05     1.0e+00      4.101e+00
   1      2      5    4.31878957e-06   1.4e-05     1.0e+00      4.129e+00
