
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 32
>> >> >> >> >> >> ===================== 15
Elapsed time is 1.094699 seconds.
Elapsed time is 1.096330 seconds.
ans =
     0
Elapsed time is 1.096574 seconds.
  it     nf     cg           f             |g|      alpha        error
 340    467   3260    1.95350929e+01   2.0e-02     1.0e+00      1.547e+02
 341    468   3270    1.95320110e+01   1.1e-02     1.0e+00      1.549e+02
 342    469   3280    1.95289471e+01   2.0e-02     1.0e+00      1.551e+02
 343    470   3290    1.95258989e+01   1.1e-02     1.0e+00      1.553e+02
 344    471   3300    1.95228683e+01   2.0e-02     1.0e+00      1.556e+02
 345    472   3310    1.95198275e+01   1.0e-02     1.0e+00      1.557e+02
 346    473   3320    1.95166105e+01   2.7e-02     1.0e+00      1.560e+02
 347    474   3330    1.95134330e+01   9.1e-03     1.0e+00      1.562e+02
 348    475   3340    1.95103035e+01   2.5e-02     1.0e+00      1.564e+02
 349    476   3350    1.95072033e+01   9.1e-03     1.0e+00      1.566e+02
 350    477   3360    1.95041315e+01   2.3e-02     1.0e+00      1.569e+02
 351    478   3370    1.95010880e+01   9.0e-03     1.0e+00      1.570e+02
 352    479   3380    1.94980679e+01   2.2e-02     1.0e+00      1.573e+02
 353    480   3390    1.94950707e+01   9.0e-03     1.0e+00      1.575e+02
 354    481   3400    1.94920933e+01   2.1e-02     1.0e+00      1.577e+02
 355    482   3410    1.94891345e+01   8.9e-03     1.0e+00      1.579e+02
 356    483   3420    1.94861942e+01   2.1e-02     1.0e+00      1.581e+02
 357    484   3430    1.94832708e+01   8.9e-03     1.0e+00      1.583e+02
 358    485   3440    1.94803654e+01   2.1e-02     1.0e+00      1.586e+02
 359    486   3450    1.94774762e+01   8.9e-03     1.0e+00      1.587e+02
 360    487   3460    1.94746046e+01   2.0e-02     1.0e+00      1.590e+02
 361    488   3470    1.94717488e+01   8.8e-03     1.0e+00      1.591e+02
 362    489   3480    1.94689102e+01   2.0e-02     1.0e+00      1.594e+02
 363    490   3490    1.94660871e+01   8.8e-03     1.0e+00      1.596e+02
 364    491   3500    1.94632991e+01   1.9e-02     1.0e+00      1.598e+02
 365    492   3510    1.94604636e+01   1.0e-02     1.0e+00      1.600e+02
 366    493   3520    1.94576874e+01   2.1e-02     1.0e+00      1.602e+02
 367    494   3530    1.94549343e+01   8.7e-03     1.0e+00      1.604e+02
 368    495   3540    1.94522061e+01   1.8e-02     1.0e+00      1.606e+02
 369    496   3550    1.94494943e+01   8.6e-03     1.0e+00      1.608e+02
 370    497   3560    1.94467992e+01   1.8e-02     1.0e+00      1.610e+02
 371    498   3570    1.94441189e+01   8.6e-03     1.0e+00      1.612e+02
 372    499   3580    1.94414536e+01   1.7e-02     1.0e+00      1.614e+02
 373    500   3590    1.94388026e+01   8.5e-03     1.0e+00      1.616e+02
 374    501   3600    1.94361661e+01   1.7e-02     1.0e+00      1.618e+02
 375    502   3610    1.94335437e+01   8.7e-03     1.0e+00      1.620e+02
 376    503   3620    1.94309353e+01   1.6e-02     1.0e+00      1.622e+02
 377    504   3630    1.94283407e+01   8.9e-03     1.0e+00      1.624e+02
 378    505   3640    1.94257599e+01   1.6e-02     1.0e+00      1.626e+02
 379    506   3650    1.94231926e+01   9.1e-03     1.0e+00      1.628e+02
 380    507   3660    1.94206388e+01   1.6e-02     1.0e+00      1.630e+02
 381    508   3670    1.94180983e+01   9.2e-03     1.0e+00      1.631e+02
 382    509   3680    1.94155709e+01   1.5e-02     1.0e+00      1.634e+02
 383    510   3690    1.94130566e+01   9.3e-03     1.0e+00      1.635e+02
 384    511   3700    1.94105552e+01   1.5e-02     1.0e+00      1.638e+02
 385    512   3710    1.94080667e+01   9.4e-03     1.0e+00      1.639e+02
 386    513   3720    1.94055909e+01   1.5e-02     1.0e+00      1.642e+02
 387    514   3730    1.94031277e+01   9.5e-03     1.0e+00      1.643e+02
 388    515   3740    1.94006768e+01   1.5e-02     1.0e+00      1.645e+02
 389    516   3750    1.93982385e+01   9.5e-03     1.0e+00      1.647e+02
 390    517   3760    1.93958123e+01   1.5e-02     1.0e+00      1.649e+02
 391    518   3770    1.93933984e+01   9.5e-03     1.0e+00      1.651e+02
 392    519   3780    1.93909963e+01   1.4e-02     1.0e+00      1.653e+02
 393    520   3790    1.93886065e+01   9.5e-03     1.0e+00      1.655e+02
 394    521   3800    1.93862282e+01   1.4e-02     1.0e+00      1.657e+02
 395    522   3810    1.93838619e+01   9.5e-03     1.0e+00      1.658e+02
 396    523   3820    1.93815069e+01   1.4e-02     1.0e+00      1.661e+02
 397    524   3830    1.93791638e+01   9.5e-03     1.0e+00      1.662e+02
 398    525   3840    1.93768318e+01   1.4e-02     1.0e+00      1.664e+02
 399    526   3850    1.93745114e+01   9.5e-03     1.0e+00      1.666e+02
 400    527   3860    1.93722018e+01   1.4e-02     1.0e+00      1.668e+02
 401    528   3870    1.93699038e+01   9.5e-03     1.0e+00      1.670e+02
 402    529   3880    1.93676163e+01   1.4e-02     1.0e+00      1.672e+02
 403    530   3890    1.93653403e+01   9.4e-03     1.0e+00      1.673e+02
 404    531   3900    1.93630744e+01   1.4e-02     1.0e+00      1.676e+02
 405    532   3910    1.93608198e+01   9.4e-03     1.0e+00      1.677e+02
 406    533   3920    1.93585752e+01   1.4e-02     1.0e+00      1.679e+02
 407    534   3930    1.93563417e+01   9.4e-03     1.0e+00      1.681e+02
 408    535   3940    1.93541178e+01   1.4e-02     1.0e+00      1.683e+02
 409    536   3950    1.93519050e+01   9.3e-03     1.0e+00      1.685e+02
 410    537   3960    1.93497015e+01   1.4e-02     1.0e+00      1.687e+02
 411    538   3970    1.93475088e+01   9.3e-03     1.0e+00      1.688e+02
 412    539   3980    1.93453252e+01   1.4e-02     1.0e+00      1.690e+02
 413    540   3990    1.93431523e+01   9.3e-03     1.0e+00      1.692e+02
 414    541   4000    1.93409881e+01   1.4e-02     1.0e+00      1.694e+02
 415    542   4010    1.93388346e+01   9.3e-03     1.0e+00      1.696e+02
 416    543   4020    1.93366893e+01   1.4e-02     1.0e+00      1.698e+02
 417    544   4030    1.93345545e+01   9.2e-03     1.0e+00      1.699e+02
 418    545   4040    1.93324277e+01   1.4e-02     1.0e+00      1.701e+02
 419    546   4050    1.93303113e+01   9.2e-03     1.0e+00      1.703e+02
 420    547   4060    1.93282025e+01   1.4e-02     1.0e+00      1.705e+02
 421    548   4070    1.93261039e+01   9.2e-03     1.0e+00      1.707e+02
 422    549   4080    1.93240124e+01   1.4e-02     1.0e+00      1.709e+02
 423    550   4090    1.93219312e+01   9.1e-03     1.0e+00      1.710e+02
 424    551   4100    1.93198565e+01   1.4e-02     1.0e+00      1.712e+02
 425    552   4110    1.93177920e+01   9.1e-03     1.0e+00      1.714e+02
 426    553   4120    1.93157336e+01   1.4e-02     1.0e+00      1.716e+02
 427    554   4130    1.93136852e+01   9.1e-03     1.0e+00      1.717e+02
 428    555   4140    1.93116424e+01   1.4e-02     1.0e+00      1.720e+02
 429    556   4150    1.93096096e+01   9.1e-03     1.0e+00      1.721e+02
 430    557   4160    1.93075817e+01   1.4e-02     1.0e+00      1.723e+02
 431    558   4170    1.93055637e+01   9.0e-03     1.0e+00      1.725e+02
 432    559   4180    1.93035501e+01   1.4e-02     1.0e+00      1.727e+02
 433    560   4190    1.93015463e+01   9.0e-03     1.0e+00      1.728e+02
 434    561   4200    1.92995460e+01   1.4e-02     1.0e+00      1.730e+02
 435    562   4210    1.92975556e+01   9.0e-03     1.0e+00      1.732e+02
 436    563   4220    1.92955679e+01   1.5e-02     1.0e+00      1.734e+02
 437    564   4230    1.92935900e+01   8.9e-03     1.0e+00      1.735e+02
 438    565   4240    1.92916140e+01   1.6e-02     1.0e+00      1.737e+02
 439    566   4250    1.92896476e+01   8.9e-03     1.0e+00      1.739e+02
 440    567   4260    1.92876823e+01   1.7e-02     1.0e+00      1.741e+02
 441    568   4270    1.92857265e+01   8.9e-03     1.0e+00      1.743e+02
 442    569   4280    1.92837707e+01   1.8e-02     1.0e+00      1.745e+02
 443    570   4290    1.92818245e+01   8.8e-03     1.0e+00      1.746e+02
 444    571   4300    1.92798769e+01   1.9e-02     1.0e+00      1.748e+02
 445    572   4310    1.92779390e+01   8.8e-03     1.0e+00      1.750e+02
 446    573   4320    1.92759984e+01   2.0e-02     1.0e+00      1.752e+02
 447    574   4330    1.92740674e+01   8.8e-03     1.0e+00      1.753e+02
 448    575   4340    1.92721322e+01   2.1e-02     1.0e+00      1.756e+02
 449    576   4344    1.92711889e+01   1.2e-02     1.0e+00      1.756e+02
 450    577   4354    1.92537858e+01   9.8e-02     1.0e+00      1.788e+02
 451    578   4356    1.92397742e+01   1.8e-02     1.0e+00      1.788e+02
 452    579   4360    1.92377211e+01   1.5e-02     1.0e+00      1.788e+02
 453    580   4370    1.91509487e+01   1.2e-01     1.0e+00      1.983e+02
 454    581   4373    1.90968607e+01   1.2e-01     1.0e+00      1.983e+02
 455    582   4379    1.90766430e+01   2.1e-02     1.0e+00      1.983e+02
 456    583   4384    1.90758108e+01   7.1e-03     1.0e+00      1.983e+02
 457    584   4394    1.90737314e+01   8.3e-03     1.0e+00      1.986e+02
 458    585   4401    1.90726591e+01   1.3e-02     1.0e+00      1.987e+02
 459    586   4411    1.90712467e+01   1.3e-02     1.0e+00      1.990e+02
 460    587   4417    1.90701956e+01   1.7e-02     1.0e+00      1.990e+02
 461    588   4427    1.90652299e+01   1.1e-02     1.0e+00      2.003e+02
 462    589   4435    1.90611889e+01   6.2e-03     1.0e+00      2.003e+02
 463    590   4445    1.90600761e+01   6.9e-03     1.0e+00      2.004e+02
 464    591   4455    1.90592426e+01   7.8e-03     1.0e+00      2.006e+02
 465    592   4465    1.90584575e+01   6.8e-03     1.0e+00      2.007e+02
 466    593   4475    1.90576878e+01   7.4e-03     1.0e+00      2.008e+02
 467    594   4485    1.90569301e+01   6.7e-03     1.0e+00      2.009e+02
 468    595   4495    1.90561810e+01   7.6e-03     1.0e+00      2.010e+02
 469    596   4505    1.90554384e+01   6.5e-03     1.0e+00      2.011e+02
 470    597   4515    1.90547019e+01   7.7e-03     1.0e+00      2.012e+02
 471    598   4525    1.90539703e+01   6.3e-03     1.0e+00      2.013e+02
 472    599   4535    1.90532436e+01   7.8e-03     1.0e+00      2.014e+02
 473    600   4545    1.90525210e+01   6.1e-03     1.0e+00      2.015e+02
 474    601   4555    1.90518026e+01   7.8e-03     1.0e+00      2.017e+02
 475    602   4565    1.90510880e+01   6.0e-03     1.0e+00      2.018e+02
 476    603   4575    1.90503772e+01   7.9e-03     1.0e+00      2.019e+02
 477    604   4585    1.90496699e+01   6.0e-03     1.0e+00      2.020e+02
 478    605   4595    1.90489660e+01   7.9e-03     1.0e+00      2.021e+02
 479    606   4605    1.90482656e+01   6.0e-03     1.0e+00      2.022e+02
 480    607   4615    1.90475684e+01   7.9e-03     1.0e+00      2.023e+02
 481    608   4625    1.90468745e+01   6.0e-03     1.0e+00      2.024e+02
 482    609   4635    1.90461837e+01   7.9e-03     1.0e+00      2.025e+02
 483    610   4645    1.90454961e+01   6.0e-03     1.0e+00      2.026e+02
 484    611   4655    1.90448115e+01   7.9e-03     1.0e+00      2.027e+02
 485    612   4665    1.90441300e+01   6.0e-03     1.0e+00      2.028e+02
 486    613   4675    1.90434515e+01   8.0e-03     1.0e+00      2.029e+02
 487    614   4685    1.90427759e+01   5.9e-03     1.0e+00      2.030e+02
 488    615   4695    1.90421032e+01   8.0e-03     1.0e+00      2.031e+02
 489    616   4705    1.90414334e+01   5.9e-03     1.0e+00      2.032e+02
 490    617   4715    1.90407665e+01   8.0e-03     1.0e+00      2.033e+02
 491    618   4725    1.90401024e+01   5.9e-03     1.0e+00      2.034e+02
 492    619   4735    1.90394411e+01   8.0e-03     1.0e+00      2.035e+02
 493    620   4745    1.90387826e+01   5.9e-03     1.0e+00      2.036e+02
 494    621   4755    1.90381269e+01   8.0e-03     1.0e+00      2.038e+02
 495    622   4765    1.90374739e+01   5.9e-03     1.0e+00      2.039e+02
 496    623   4775    1.90368236e+01   8.0e-03     1.0e+00      2.040e+02
 497    624   4785    1.90361761e+01   5.8e-03     1.0e+00      2.041e+02
 498    625   4795    1.90355312e+01   8.0e-03     1.0e+00      2.042e+02
 499    626   4805    1.90348890e+01   5.8e-03     1.0e+00      2.043e+02
 500    627   4815    1.90342494e+01   8.1e-03     1.0e+00      2.044e+02
 501    628   4825    1.90336125e+01   5.8e-03     1.0e+00      2.045e+02
 502    629   4835    1.90329781e+01   8.1e-03     1.0e+00      2.046e+02
 503    630   4845    1.90323464e+01   5.8e-03     1.0e+00      2.047e+02
 504    631   4855    1.90317172e+01   8.1e-03     1.0e+00      2.048e+02
 505    632   4865    1.90310907e+01   5.7e-03     1.0e+00      2.049e+02
 506    633   4875    1.90304666e+01   8.1e-03     1.0e+00      2.050e+02
 507    634   4885    1.90298452e+01   5.7e-03     1.0e+00      2.051e+02
 508    635   4895    1.90292261e+01   8.1e-03     1.0e+00      2.052e+02
 509    636   4905    1.90286097e+01   5.7e-03     1.0e+00      2.053e+02
 510    637   4915    1.90279957e+01   8.1e-03     1.0e+00      2.054e+02
 511    638   4925    1.90273842e+01   5.7e-03     1.0e+00      2.055e+02
 512    639   4935    1.90267751e+01   8.2e-03     1.0e+00      2.056e+02
 513    640   4945    1.90261685e+01   5.7e-03     1.0e+00      2.057e+02
 514    641   4955    1.90255643e+01   8.2e-03     1.0e+00      2.058e+02
 515    642   4965    1.90249626e+01   5.6e-03     1.0e+00      2.059e+02
 516    643   4975    1.90243632e+01   8.2e-03     1.0e+00      2.060e+02
 517    644   4985    1.90237663e+01   5.6e-03     1.0e+00      2.061e+02
 518    645   4995    1.90231716e+01   8.2e-03     1.0e+00      2.062e+02
 519    646   5005    1.90225795e+01   5.6e-03     1.0e+00      2.063e+02
 520    647   5015    1.90219895e+01   8.2e-03     1.0e+00      2.064e+02
 521    648   5025    1.90214020e+01   5.6e-03     1.0e+00      2.064e+02
 522    649   5035    1.90208168e+01   8.3e-03     1.0e+00      2.066e+02
 523    650   5045    1.90202339e+01   5.6e-03     1.0e+00      2.066e+02
 524    651   5055    1.90196532e+01   8.3e-03     1.0e+00      2.067e+02
 525    652   5065    1.90190750e+01   5.5e-03     1.0e+00      2.068e+02
 526    653   5075    1.90184988e+01   8.3e-03     1.0e+00      2.069e+02
 527    654   5085    1.90179251e+01   5.5e-03     1.0e+00      2.070e+02
 528    655   5095    1.90173535e+01   8.3e-03     1.0e+00      2.071e+02
 529    656   5105    1.90167842e+01   5.5e-03     1.0e+00      2.072e+02
 530    657   5115    1.90162171e+01   8.4e-03     1.0e+00      2.073e+02
 531    658   5125    1.90156522e+01   5.5e-03     1.0e+00      2.074e+02
 532    659   5135    1.90150895e+01   8.4e-03     1.0e+00      2.075e+02
 533    660   5145    1.90145290e+01   5.5e-03     1.0e+00      2.076e+02
 534    661   5155    1.90139706e+01   8.4e-03     1.0e+00      2.077e+02
 535    662   5165    1.90134145e+01   5.4e-03     1.0e+00      2.078e+02
 536    663   5175    1.90128604e+01   8.4e-03     1.0e+00      2.079e+02
 537    664   5185    1.90123086e+01   5.4e-03     1.0e+00      2.080e+02
 538    665   5195    1.90117587e+01   8.4e-03     1.0e+00      2.081e+02
 539    666   5205    1.90112111e+01   5.4e-03     1.0e+00      2.082e+02
 540    667   5215    1.90106655e+01   8.5e-03     1.0e+00      2.083e+02
 541    668   5225    1.90101221e+01   5.4e-03     1.0e+00      2.084e+02
 542    669   5235    1.90095806e+01   8.5e-03     1.0e+00      2.085e+02
 543    670   5245    1.90090414e+01   5.4e-03     1.0e+00      2.086e+02
 544    671   5255    1.90085040e+01   8.5e-03     1.0e+00      2.087e+02
 545    672   5265    1.90079688e+01   5.4e-03     1.0e+00      2.087e+02
 546    673   5275    1.90074356e+01   8.6e-03     1.0e+00      2.088e+02
 547    674   5285    1.90069045e+01   5.3e-03     1.0e+00      2.089e+02
 548    675   5295    1.90063752e+01   8.6e-03     1.0e+00      2.090e+02
 549    676   5305    1.90058481e+01   5.3e-03     1.0e+00      2.091e+02
 550    677   5315    1.90053228e+01   8.6e-03     1.0e+00      2.092e+02
 551    678   5325    1.90047997e+01   5.3e-03     1.0e+00      2.093e+02
 552    679   5335    1.90042784e+01   8.6e-03     1.0e+00      2.094e+02
 553    680   5345    1.90037591e+01   5.3e-03     1.0e+00      2.095e+02
 554    681   5355    1.90032417e+01   8.7e-03     1.0e+00      2.096e+02
 555    682   5365    1.90027263e+01   5.3e-03     1.0e+00      2.097e+02
 556    683   5375    1.90022128e+01   8.7e-03     1.0e+00      2.098e+02
 557    684   5385    1.90017013e+01   5.3e-03     1.0e+00      2.099e+02
 558    685   5395    1.90011915e+01   8.8e-03     1.0e+00      2.099e+02
 559    686   5405    1.90006838e+01   5.3e-03     1.0e+00      2.100e+02
 560    687   5415    1.90001778e+01   8.8e-03     1.0e+00      2.101e+02
 561    688   5425    1.89996727e+01   5.2e-03     1.0e+00      2.102e+02
 562    689   5435    1.89991328e+01   1.3e-02     1.0e+00      2.103e+02
 563    690   5445    1.89986067e+01   5.2e-03     1.0e+00      2.104e+02
 564    691   5455    1.89980915e+01   1.1e-02     1.0e+00      2.105e+02
 565    692   5465    1.89975827e+01   5.2e-03     1.0e+00      2.106e+02
 566    693   5475    1.89970760e+01   1.1e-02     1.0e+00      2.107e+02
 567    694   5485    1.89965716e+01   5.1e-03     1.0e+00      2.108e+02
 568    695   5495    1.89960692e+01   1.1e-02     1.0e+00      2.109e+02
 569    696   5505    1.89955689e+01   5.1e-03     1.0e+00      2.110e+02
 570    697   5515    1.89950705e+01   1.1e-02     1.0e+00      2.111e+02
 571    698   5525    1.89945741e+01   5.1e-03     1.0e+00      2.111e+02
 572    699   5535    1.89940795e+01   1.1e-02     1.0e+00      2.112e+02
 573    700   5545    1.89935869e+01   5.0e-03     1.0e+00      2.113e+02
 574    701   5555    1.89930959e+01   1.1e-02     1.0e+00      2.114e+02
 575    702   5565    1.89926070e+01   5.0e-03     1.0e+00      2.115e+02
 576    703   5575    1.89921197e+01   1.1e-02     1.0e+00      2.116e+02
 577    704   5585    1.89916343e+01   5.0e-03     1.0e+00      2.117e+02
 578    705   5595    1.89911505e+01   1.1e-02     1.0e+00      2.118e+02
 579    706   5605    1.89906686e+01   5.0e-03     1.0e+00      2.119e+02
 580    707   5615    1.89901883e+01   1.1e-02     1.0e+00      2.120e+02
 581    708   5625    1.89897099e+01   4.9e-03     1.0e+00      2.120e+02
 582    709   5635    1.89892330e+01   1.1e-02     1.0e+00      2.121e+02
 583    710   5645    1.89887579e+01   4.9e-03     1.0e+00      2.122e+02
 584    711   5655    1.89882844e+01   1.1e-02     1.0e+00      2.123e+02
 585    712   5665    1.89878127e+01   4.9e-03     1.0e+00      2.124e+02
 586    713   5675    1.89873425e+01   1.1e-02     1.0e+00      2.125e+02
 587    714   5685    1.89868741e+01   4.9e-03     1.0e+00      2.126e+02
 588    715   5695    1.89864072e+01   1.1e-02     1.0e+00      2.127e+02
 589    716   5705    1.89859422e+01   4.9e-03     1.0e+00      2.128e+02
 590    717   5715    1.89854788e+01   1.1e-02     1.0e+00      2.129e+02
 591    718   5725    1.89850177e+01   4.8e-03     1.0e+00      2.129e+02
 592    719   5735    1.89845580e+01   1.1e-02     1.0e+00      2.130e+02
 593    720   5745    1.89841003e+01   4.8e-03     1.0e+00      2.131e+02
 594    721   5755    1.89836439e+01   1.1e-02     1.0e+00      2.132e+02
 595    722   5765    1.89831893e+01   4.8e-03     1.0e+00      2.133e+02
 596    723   5775    1.89827361e+01   1.1e-02     1.0e+00      2.134e+02
 597    724   5785    1.89822847e+01   4.8e-03     1.0e+00      2.135e+02
 598    725   5795    1.89818345e+01   1.1e-02     1.0e+00      2.136e+02
 599    726   5805    1.89813862e+01   4.8e-03     1.0e+00      2.136e+02
 600    727   5815    1.89809391e+01   1.1e-02     1.0e+00      2.137e+02
 601    728   5825    1.89804938e+01   4.8e-03     1.0e+00      2.138e+02
 602    729   5835    1.89800497e+01   1.1e-02     1.0e+00      2.139e+02
 603    730   5845    1.89796074e+01   4.7e-03     1.0e+00      2.140e+02
 604    731   5855    1.89791663e+01   1.1e-02     1.0e+00      2.141e+02
 605    732   5865    1.89787270e+01   4.7e-03     1.0e+00      2.141e+02
 606    733   5875    1.89782888e+01   1.1e-02     1.0e+00      2.142e+02
 607    734   5885    1.89778524e+01   4.7e-03     1.0e+00      2.143e+02
 608    735   5895    1.89774171e+01   1.1e-02     1.0e+00      2.144e+02
 609    736   5905    1.89769835e+01   4.7e-03     1.0e+00      2.145e+02
 610    737   5915    1.89765511e+01   1.1e-02     1.0e+00      2.146e+02
 611    738   5925    1.89761204e+01   4.7e-03     1.0e+00      2.147e+02
 612    739   5935    1.89756908e+01   1.1e-02     1.0e+00      2.148e+02
 613    740   5945    1.89752628e+01   4.7e-03     1.0e+00      2.148e+02
 614    741   5955    1.89748360e+01   1.1e-02     1.0e+00      2.149e+02
 615    742   5965    1.89744109e+01   4.7e-03     1.0e+00      2.150e+02
 616    743   5975    1.89739869e+01   1.2e-02     1.0e+00      2.151e+02
 617    744   5985    1.89735648e+01   4.6e-03     1.0e+00      2.152e+02
 618    745   5995    1.89731439e+01   1.1e-02     1.0e+00      2.153e+02
 619    746   6005    1.89727249e+01   4.6e-03     1.0e+00      2.153e+02
 620    747   6015    1.89723070e+01   1.1e-02     1.0e+00      2.154e+02
 621    748   6025    1.89718907e+01   4.6e-03     1.0e+00      2.155e+02
 622    749   6035    1.89714755e+01   1.1e-02     1.0e+00      2.156e+02
 623    750   6045    1.89710619e+01   4.6e-03     1.0e+00      2.157e+02
 624    751   6055    1.89706493e+01   1.1e-02     1.0e+00      2.158e+02
 625    752   6065    1.89702383e+01   4.6e-03     1.0e+00      2.158e+02
 626    753   6075    1.89698283e+01   1.1e-02     1.0e+00      2.159e+02
 627    754   6085    1.89694199e+01   4.6e-03     1.0e+00      2.160e+02
 628    755   6095    1.89690125e+01   1.1e-02     1.0e+00      2.161e+02
 629    756   6105    1.89686066e+01   4.6e-03     1.0e+00      2.162e+02
 630    757   6115    1.89682017e+01   1.1e-02     1.0e+00      2.162e+02
 631    758   6125    1.89677983e+01   4.6e-03     1.0e+00      2.163e+02
 632    759   6135    1.89673959e+01   1.1e-02     1.0e+00      2.164e+02
 633    760   6145    1.89669950e+01   4.6e-03     1.0e+00      2.165e+02
 634    761   6155    1.89665950e+01   1.2e-02     1.0e+00      2.166e+02
 635    762   6165    1.89661965e+01   4.6e-03     1.0e+00      2.166e+02
 636    763   6175    1.89657990e+01   1.2e-02     1.0e+00      2.167e+02
 637    764   6185    1.89654029e+01   4.5e-03     1.0e+00      2.168e+02
 638    765   6195    1.89650077e+01   1.2e-02     1.0e+00      2.169e+02
 639    766   6205    1.89646140e+01   4.5e-03     1.0e+00      2.170e+02
 640    767   6215    1.89642211e+01   1.2e-02     1.0e+00      2.171e+02
 641    768   6225    1.89638297e+01   4.5e-03     1.0e+00      2.171e+02
 642    769   6235    1.89634392e+01   1.2e-02     1.0e+00      2.172e+02
 643    770   6245    1.89630502e+01   4.5e-03     1.0e+00      2.173e+02
 644    771   6255    1.89626623e+01   1.1e-02     1.0e+00      2.174e+02
 645    772   6265    1.89622761e+01   4.5e-03     1.0e+00      2.174e+02
 646    773   6275    1.89618909e+01   1.1e-02     1.0e+00      2.175e+02
 647    774   6285    1.89615070e+01   4.5e-03     1.0e+00      2.176e+02
 648    775   6295    1.89611241e+01   1.1e-02     1.0e+00      2.177e+02
 649    776   6305    1.89607425e+01   4.5e-03     1.0e+00      2.178e+02
 650    777   6315    1.89603618e+01   1.2e-02     1.0e+00      2.179e+02
 651    778   6325    1.89599825e+01   4.5e-03     1.0e+00      2.179e+02
 652    779   6335    1.89596041e+01   1.2e-02     1.0e+00      2.180e+02
 653    780   6345    1.89592270e+01   4.5e-03     1.0e+00      2.181e+02
 654    781   6355    1.89588507e+01   1.2e-02     1.0e+00      2.182e+02
 655    782   6365    1.89584757e+01   4.5e-03     1.0e+00      2.182e+02
 656    783   6375    1.89581016e+01   1.2e-02     1.0e+00      2.183e+02
 657    784   6385    1.89577288e+01   4.5e-03     1.0e+00      2.184e+02
 658    785   6395    1.89573568e+01   1.2e-02     1.0e+00      2.185e+02
 659    786   6405    1.89569861e+01   4.5e-03     1.0e+00      2.186e+02
 660    787   6415    1.89566162e+01   1.2e-02     1.0e+00      2.186e+02
 661    788   6425    1.89562476e+01   4.5e-03     1.0e+00      2.187e+02
 662    789   6435    1.89558798e+01   1.2e-02     1.0e+00      2.188e+02
 663    790   6445    1.89555132e+01   4.5e-03     1.0e+00      2.189e+02
 664    791   6455    1.89551474e+01   1.2e-02     1.0e+00      2.190e+02
 665    792   6465    1.89547830e+01   4.5e-03     1.0e+00      2.190e+02
 666    793   6475    1.89544192e+01   1.2e-02     1.0e+00      2.191e+02
 667    794   6485    1.89540567e+01   4.5e-03     1.0e+00      2.192e+02
 668    795   6495    1.89536950e+01   1.2e-02     1.0e+00      2.193e+02
 669    796   6505    1.89533345e+01   4.5e-03     1.0e+00      2.193e+02
 670    797   6515    1.89529748e+01   1.2e-02     1.0e+00      2.194e+02
 671    798   6525    1.89526164e+01   4.5e-03     1.0e+00      2.195e+02
 672    799   6535    1.89522588e+01   1.2e-02     1.0e+00      2.196e+02
 673    800   6545    1.89519029e+01   4.5e-03     1.0e+00      2.196e+02
 674    801   6555    1.89515477e+01   1.2e-02     1.0e+00      2.197e+02
 675    802   6565    1.89511938e+01   4.5e-03     1.0e+00      2.198e+02
 676    803   6575    1.89508406e+01   1.2e-02     1.0e+00      2.199e+02
 677    804   6585    1.89504886e+01   4.5e-03     1.0e+00      2.199e+02
 678    805   6595    1.89501373e+01   1.2e-02     1.0e+00      2.200e+02
 679    806   6605    1.89497873e+01   4.4e-03     1.0e+00      2.201e+02
 680    807   6615    1.89494379e+01   1.2e-02     1.0e+00      2.202e+02
 681    808   6625    1.89490898e+01   4.4e-03     1.0e+00      2.202e+02
 682    809   6635    1.89487423e+01   1.2e-02     1.0e+00      2.203e+02
 683    810   6645    1.89483960e+01   4.4e-03     1.0e+00      2.204e+02
 684    811   6655    1.89480502e+01   1.2e-02     1.0e+00      2.205e+02
 685    812   6665    1.89477057e+01   4.4e-03     1.0e+00      2.205e+02
 686    813   6675    1.89473617e+01   1.2e-02     1.0e+00      2.206e+02
 687    814   6685    1.89470188e+01   4.4e-03     1.0e+00      2.207e+02
 688    815   6695    1.89466765e+01   1.2e-02     1.0e+00      2.208e+02
 689    816   6705    1.89463353e+01   4.3e-03     1.0e+00      2.208e+02
 690    817   6715    1.89459946e+01   1.2e-02     1.0e+00      2.209e+02
 691    818   6725    1.89456551e+01   4.3e-03     1.0e+00      2.210e+02
 692    819   6735    1.89453159e+01   1.2e-02     1.0e+00      2.211e+02
 693    820   6745    1.89449780e+01   4.3e-03     1.0e+00      2.211e+02
 694    821   6755    1.89446406e+01   1.2e-02     1.0e+00      2.212e+02
 695    822   6765    1.89443044e+01   4.3e-03     1.0e+00      2.213e+02
 696    823   6775    1.89439686e+01   1.2e-02     1.0e+00      2.214e+02
 697    824   6785    1.89436339e+01   4.2e-03     1.0e+00      2.214e+02
 698    825   6795    1.89432997e+01   1.2e-02     1.0e+00      2.215e+02
 699    826   6805    1.89429665e+01   4.2e-03     1.0e+00      2.216e+02
