
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 6
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  50     51    309    2.54648166e+01    2.54648166e+01     5.30627228e-03    1.4e+02     1.0e+00      3.802e-01
  51     52    313    2.54598106e+01    2.54598106e+01     5.30531494e-03    3.8e+02     1.0e+00      3.802e-01
  52     53    317    2.54568202e+01    2.54568202e+01     5.30506858e-03    1.5e+02     1.0e+00      3.802e-01
  53     54    327    2.52797264e+01    2.52797264e+01     5.25095968e-03    1.9e+03     1.0e+00      3.782e-01
  54     55    330    2.52220764e+01    2.52220764e+01     5.25107587e-03    7.5e+02     1.0e+00      3.782e-01
  55     56    337    2.51360144e+01    2.51360144e+01     5.25227938e-03    2.8e+02     1.0e+00      3.781e-01
  56     57    341    2.51224180e+01    2.51224180e+01     5.25099879e-03    2.4e+02     1.0e+00      3.781e-01
  57     58    351    2.50877061e+01    2.50877061e+01     5.24354191e-03    2.6e+02     1.0e+00      3.778e-01
  58     59    356    2.50679747e+01    2.50679747e+01     5.24209352e-03    3.9e+02     1.0e+00      3.777e-01
  59     60    362    2.50595223e+01    2.50595223e+01     5.24080717e-03    1.6e+02     1.0e+00      3.777e-01
  60     61    372    2.49244574e+01    2.49244574e+01     5.19568669e-03    2.4e+03     1.0e+00      3.760e-01
  61     62    377    2.48289524e+01    2.48289524e+01     5.19327626e-03    5.8e+02     1.0e+00      3.759e-01
  62     63    381    2.48116657e+01    2.48116657e+01     5.19372190e-03    5.1e+02     1.0e+00      3.759e-01
