
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 1.000000, TempBeta = 0.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  48     49    324    4.00616334e-08    4.54087048e+06     4.00616334e-08    1.6e-06     1.0e+00      6.813e-01
  49     50    334    3.65014279e-08    4.52903849e+06     3.65014279e-08    5.0e-06     1.0e+00      6.804e-01
  50     51    337    3.42641728e-08    4.53195003e+06     3.42641728e-08    2.6e-06     1.0e+00      6.804e-01
  51     52    343    3.35907365e-08    4.53333854e+06     3.35907365e-08    7.2e-07     1.0e+00      6.803e-01
  52     53    353    3.17521292e-08    4.52895708e+06     3.17521292e-08    3.9e-06     1.0e+00      6.798e-01
  53     54    358    3.03496671e-08    4.52662685e+06     3.03496671e-08    1.3e-06     1.0e+00      6.798e-01
  54     55    368    2.92459608e-08    4.52477926e+06     2.92459608e-08    1.8e-06     1.0e+00      6.795e-01
  55     56    370    2.89958731e-08    4.52517905e+06     2.89958731e-08    1.7e-06     1.0e+00      6.795e-01
  56     57    375    2.84707155e-08    4.52548019e+06     2.84707155e-08    5.8e-07     1.0e+00      6.795e-01
  57     58    385    2.73175782e-08    4.52158549e+06     2.73175782e-08    3.3e-06     1.0e+00      6.792e-01
  58     59    390    2.65577730e-08    4.52050478e+06     2.65577730e-08    9.6e-07     1.0e+00      6.791e-01
  59     60    400    2.59720270e-08    4.52085480e+06     2.59720270e-08    1.3e-06     1.0e+00      6.790e-01
  60     61    410    2.54310997e-08    4.51892209e+06     2.54310997e-08    6.0e-07     1.0e+00      6.789e-01
  61     62    420    2.49272971e-08    4.51888646e+06     2.49272971e-08    1.3e-06     1.0e+00      6.788e-01
  62     63    430    2.44613877e-08    4.51785951e+06     2.44613877e-08    6.7e-07     1.0e+00      6.787e-01
  63     64    440    2.40287186e-08    4.51710494e+06     2.40287186e-08    9.3e-07     1.0e+00      6.786e-01
  64     65    450    2.36129593e-08    4.51645827e+06     2.36129593e-08    6.3e-07     1.0e+00      6.786e-01
  65     66    460    2.32153980e-08    4.51519675e+06     2.32153980e-08    8.9e-07     1.0e+00      6.785e-01
  66     67    466    2.29518582e-08    4.51449995e+06     2.29518582e-08    9.1e-07     1.0e+00      6.784e-01
  67     68    476    2.21289834e-08    4.51030273e+06     2.21289834e-08    7.5e-07     1.0e+00      6.781e-01
  68     69    480    2.15741827e-08    4.51175181e+06     2.15741827e-08    1.8e-06     1.0e+00      6.781e-01
  69     70    490    2.11219755e-08    4.51135242e+06     2.11219755e-08    2.3e-06     1.0e+00      6.780e-01
  70     71    493    2.09880535e-08    4.51070172e+06     2.09880535e-08    1.1e-06     1.0e+00      6.780e-01
  71     72    503    2.03072416e-08    4.50720148e+06     2.03072416e-08    9.9e-07     1.0e+00      6.778e-01
  72     73    510    1.98269014e-08    4.50756553e+06     1.98269014e-08    5.4e-07     1.0e+00      6.777e-01
  73     74    515    1.97510768e-08    4.50816377e+06     1.97510768e-08    6.6e-07     1.0e+00      6.777e-01
  74     75    525    1.72836066e-08    4.49763130e+06     1.72836066e-08    4.5e-06     1.0e+00      6.766e-01
  75     76    528    1.63602100e-08    4.49768482e+06     1.63602100e-08    2.8e-06     1.0e+00      6.766e-01
  76     77    534    1.55277423e-08    4.49599142e+06     1.55277423e-08    8.9e-07     1.0e+00      6.766e-01
  77     78    539    1.53931814e-08    4.49630123e+06     1.53931814e-08    5.2e-07     1.0e+00      6.766e-01
  78     79    549    1.50673726e-08    4.49469936e+06     1.50673726e-08    1.2e-06     1.0e+00      6.765e-01
  79     80    551    1.50057582e-08    4.49481631e+06     1.50057582e-08    9.3e-07     1.0e+00      6.765e-01
  80     81    557    1.48038211e-08    4.49453020e+06     1.48038211e-08    4.6e-07     1.0e+00      6.764e-01
  81     82    567    1.42158105e-08    4.49171486e+06     1.42158105e-08    2.9e-06     1.0e+00      6.761e-01
  82     83    570    1.38125519e-08    4.49053843e+06     1.38125519e-08    1.0e-06     1.0e+00      6.761e-01
  83     84    577    1.36831569e-08    4.49097277e+06     1.36831569e-08    4.4e-07     1.0e+00      6.761e-01
  84     85    587    1.31532987e-08    4.48796212e+06     1.31532987e-08    3.0e-06     1.0e+00      6.758e-01
  85     86    589    1.28587866e-08    4.48784733e+06     1.28587866e-08    6.7e-07     1.0e+00      6.757e-01
  86     87    597    1.26656792e-08    4.48767142e+06     1.26656792e-08    2.7e-07     1.0e+00      6.757e-01
  87     88    607    1.21689511e-08    4.48513971e+06     1.21689511e-08    3.3e-06     1.0e+00      6.754e-01
  88     89    609    1.18853331e-08    4.48482182e+06     1.18853331e-08    8.6e-07     1.0e+00      6.754e-01
  89     90    614    1.17563537e-08    4.48398330e+06     1.17563537e-08    2.7e-07     1.0e+00      6.754e-01
  90     91    624    1.16139737e-08    4.48308098e+06     1.16139737e-08    4.1e-07     1.0e+00      6.753e-01
  91     92    631    1.15073196e-08    4.48350743e+06     1.15073196e-08    2.3e-07     1.0e+00      6.753e-01
  92     93    641    1.13129990e-08    4.48170496e+06     1.13129990e-08    9.4e-07     1.0e+00      6.752e-01
  93     94    645    1.12338748e-08    4.48151933e+06     1.12338748e-08    8.0e-07     1.0e+00      6.752e-01
