
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 10000000.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  49     50    403    2.06366596e+04    4.82012294e+03     1.58165366e-03    6.2e+04     1.0e+00      2.043e+00
  50     51    408    2.04849171e+04    4.71893364e+03     1.57659835e-03    3.4e+04     1.0e+00      2.043e+00
  51     52    418    1.97269406e+04    4.95143357e+03     1.47755071e-03    5.2e+04     1.0e+00      2.037e+00
  52     53    425    1.92311507e+04    4.59190442e+03     1.46392462e-03    4.0e+04     1.0e+00      2.036e+00
  53     54    435    1.87844709e+04    4.66900755e+03     1.41154634e-03    6.6e+04     1.0e+00      2.033e+00
  54     55    445    1.84282595e+04    4.48989056e+03     1.39383690e-03    3.1e+04     1.0e+00      2.032e+00
  55     56    455    1.81454206e+04    4.53017749e+03     1.36152431e-03    3.7e+04     1.0e+00      2.031e+00
  56     57    459    1.80175583e+04    4.42037490e+03     1.35971834e-03    3.6e+04     1.0e+00      2.031e+00
  57     58    469    1.76642237e+04    4.57341647e+03     1.30908073e-03    5.1e+04     1.0e+00      2.029e+00
  58     59    476    1.73676158e+04    4.34668034e+03     1.30209354e-03    2.3e+04     1.0e+00      2.028e+00
  59     60    486    1.66845678e+04    4.77443615e+03     1.19101316e-03    4.3e+04     1.0e+00      2.025e+00
  60     61    492    1.61286812e+04    4.25657675e+03     1.18721045e-03    2.7e+04     1.0e+00      2.025e+00
  61     62    496    1.60753353e+04    4.21103651e+03     1.18642987e-03    2.2e+04     1.0e+00      2.025e+00
  62     63    506    1.54063017e+04    4.63858291e+03     1.07677188e-03    5.9e+04     1.0e+00      2.023e+00
  63     64    514    1.48115531e+04    4.09363120e+03     1.07179219e-03    2.1e+04     1.0e+00      2.023e+00
  64     65    524    1.45050605e+04    4.21788538e+03     1.02871751e-03    3.7e+04     1.0e+00      2.023e+00
  65     66    533    1.42570646e+04    4.02629387e+03     1.02307707e-03    1.6e+04     1.0e+00      2.023e+00
  66     67    543    1.40696850e+04    4.05947885e+03     1.00102062e-03    4.2e+04     1.0e+00      2.023e+00
  67     68    547    1.39803005e+04    3.98755158e+03     9.99274893e-04    1.9e+04     1.0e+00      2.023e+00
  68     69    557    1.38130230e+04    4.00935919e+03     9.80366378e-04    4.7e+04     1.0e+00      2.023e+00
  69     70    559    1.37715134e+04    3.98461808e+03     9.78689536e-04    3.0e+04     1.0e+00      2.023e+00
  70     71    569    1.36482974e+04    3.94192427e+03     9.70637315e-04    2.3e+04     1.0e+00      2.024e+00
  71     72    579    1.35401705e+04    3.93924402e+03     9.60092650e-04    2.1e+04     1.0e+00      2.024e+00
  72     73    583    1.34975042e+04    3.90293210e+03     9.59457210e-04    2.0e+04     1.0e+00      2.024e+00
  73     74    593    1.32911678e+04    3.98962783e+03     9.30153999e-04    4.1e+04     1.0e+00      2.025e+00
  74     75    595    1.32434580e+04    3.94668368e+03     9.29677430e-04    2.6e+04     1.0e+00      2.025e+00
  75     76    602    1.31071264e+04    3.84165709e+03     9.26546933e-04    1.2e+04     1.0e+00      2.025e+00
  76     77    612    1.27875617e+04    4.02510969e+03     8.76245199e-04    4.2e+04     1.0e+00      2.027e+00
  77     78    615    1.26149079e+04    3.84636697e+03     8.76854098e-04    4.2e+04     1.0e+00      2.027e+00
  78     79    621    1.24936429e+04    3.74983210e+03     8.74381082e-04    9.5e+03     1.0e+00      2.027e+00
  79     80    631    1.22099903e+04    3.90553620e+03     8.30445411e-04    5.7e+04     1.0e+00      2.031e+00
  80     81    634    1.20672277e+04    3.76434857e+03     8.30287917e-04    5.8e+04     1.0e+00      2.031e+00
  81     82    641    1.19468604e+04    3.66259536e+03     8.28426499e-04    6.1e+03     1.0e+00      2.031e+00
  82     83    651    1.15541694e+04    3.94206153e+03     7.61210786e-04    1.0e+05     1.0e+00      2.039e+00
  83     84    655    1.12822031e+04    3.66060590e+03     7.62159723e-04    1.5e+04     1.0e+00      2.039e+00
  84     85    663    1.11428910e+04    3.54586817e+03     7.59702282e-04    6.1e+03     1.0e+00      2.039e+00
  85     86    673    1.10128688e+04    3.57998943e+03     7.43287933e-04    4.9e+04     1.0e+00      2.041e+00
  86     87    676    1.09494231e+04    3.52730344e+03     7.42211967e-04    2.3e+04     1.0e+00      2.041e+00
  87     88    686    1.08813538e+04    3.50648554e+03     7.37486824e-04    1.2e+04     1.0e+00      2.042e+00
  88     89    696    1.08306858e+04    3.49893029e+03     7.33175551e-04    1.4e+04     1.0e+00      2.042e+00
  89     90    706    1.07829904e+04    3.48908902e+03     7.29390137e-04    1.1e+04     1.0e+00      2.043e+00
  90     91    716    1.07370881e+04    3.48319176e+03     7.25389636e-04    1.5e+04     1.0e+00      2.044e+00
  91     92    726    1.06922402e+04    3.47324594e+03     7.21899431e-04    9.9e+03     1.0e+00      2.044e+00
  92     93    736    1.06485843e+04    3.46651555e+03     7.18206871e-04    1.3e+04     1.0e+00      2.045e+00
