
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  47     48    395    4.62479191e+03    4.62479191e+03     1.40301985e+00    1.7e+04     1.0e+00      1.787e+00
  48     49    405    4.53023947e+03    4.53023947e+03     1.39055348e+00    1.7e+04     1.0e+00      1.785e+00
  49     50    415    4.43892605e+03    4.43892605e+03     1.37988134e+00    1.7e+04     1.0e+00      1.783e+00
  50     51    425    4.35068661e+03    4.35068661e+03     1.36799872e+00    1.5e+04     1.0e+00      1.781e+00
  51     52    435    4.26651999e+03    4.26651999e+03     1.35769533e+00    1.9e+04     1.0e+00      1.779e+00
  52     53    445    4.18570864e+03    4.18570864e+03     1.34661009e+00    1.2e+04     1.0e+00      1.777e+00
  53     54    455    4.10593136e+03    4.10593136e+03     1.33629746e+00    2.1e+04     1.0e+00      1.775e+00
  54     55    465    4.02907770e+03    4.02907770e+03     1.32576543e+00    1.3e+04     1.0e+00      1.773e+00
  55     56    475    3.95508941e+03    3.95508941e+03     1.31594112e+00    2.0e+04     1.0e+00      1.772e+00
  56     57    485    3.88438908e+03    3.88438908e+03     1.30606109e+00    1.2e+04     1.0e+00      1.770e+00
  57     58    495    3.81639224e+03    3.81639224e+03     1.29674290e+00    1.9e+04     1.0e+00      1.768e+00
  58     59    505    3.75064350e+03    3.75064350e+03     1.28733335e+00    1.3e+04     1.0e+00      1.766e+00
  59     60    515    3.68739979e+03    3.68739979e+03     1.27854629e+00    1.9e+04     1.0e+00      1.765e+00
  60     61    525    3.62623027e+03    3.62623027e+03     1.26954942e+00    1.2e+04     1.0e+00      1.763e+00
  61     62    535    3.56790555e+03    3.56790555e+03     1.26117488e+00    1.8e+04     1.0e+00      1.762e+00
  62     63    545    3.50942179e+03    3.50942179e+03     1.25224281e+00    1.6e+04     1.0e+00      1.760e+00
  63     64    555    3.45279702e+03    3.45279702e+03     1.24410237e+00    1.7e+04     1.0e+00      1.758e+00
  64     65    565    3.39792205e+03    3.39792205e+03     1.23552500e+00    1.5e+04     1.0e+00      1.757e+00
  65     66    575    3.34472845e+03    3.34472845e+03     1.22771715e+00    1.6e+04     1.0e+00      1.755e+00
  66     67    585    3.29313369e+03    3.29313369e+03     1.21950285e+00    1.4e+04     1.0e+00      1.754e+00
  67     68    595    3.24303513e+03    3.24303513e+03     1.21199222e+00    1.5e+04     1.0e+00      1.752e+00
  68     69    605    3.19447965e+03    3.19447965e+03     1.20411371e+00    1.4e+04     1.0e+00      1.751e+00
  69     70    615    3.14736993e+03    3.14736993e+03     1.19692949e+00    1.4e+04     1.0e+00      1.749e+00
  70     71    625    3.09695386e+03    3.09695386e+03     1.18779795e+00    1.8e+04     1.0e+00      1.747e+00
  71     72    635    3.04826500e+03    3.04826500e+03     1.18107099e+00    1.2e+04     1.0e+00      1.746e+00
  72     73    645    2.92912813e+03    2.92912813e+03     1.15018173e+00    5.6e+04     1.0e+00      1.740e+00
  73     74    647    2.86365270e+03    2.86365270e+03     1.15016645e+00    6.6e+03     1.0e+00      1.740e+00
  74     75    657    2.78308016e+03    2.78308016e+03     1.12980201e+00    2.6e+04     1.0e+00      1.736e+00
  75     76    659    2.74080354e+03    2.74080354e+03     1.12966549e+00    7.2e+03     1.0e+00      1.736e+00
  76     77    669    2.70199790e+03    2.70199790e+03     1.12176177e+00    1.2e+04     1.0e+00      1.734e+00
  77     78    679    2.66629990e+03    2.66629990e+03     1.11685942e+00    7.0e+03     1.0e+00      1.733e+00
  78     79    689    2.63300942e+03    2.63300942e+03     1.10976590e+00    1.2e+04     1.0e+00      1.731e+00
  79     80    699    2.60059740e+03    2.60059740e+03     1.10505204e+00    6.9e+03     1.0e+00      1.730e+00
  80     81    709    2.56902266e+03    2.56902266e+03     1.09820763e+00    1.2e+04     1.0e+00      1.729e+00
  81     82    719    2.53820568e+03    2.53820568e+03     1.09365895e+00    6.7e+03     1.0e+00      1.728e+00
  82     83    729    2.50812202e+03    2.50812202e+03     1.08703453e+00    1.2e+04     1.0e+00      1.726e+00
  83     84    739    2.47872857e+03    2.47872857e+03     1.08263485e+00    6.5e+03     1.0e+00      1.725e+00
  84     85    749    2.45002048e+03    2.45002048e+03     1.07622059e+00    1.2e+04     1.0e+00      1.724e+00
  85     86    759    2.42201834e+03    2.42201834e+03     1.07199316e+00    6.7e+03     1.0e+00      1.723e+00
  86     87    769    2.39375281e+03    2.39375281e+03     1.06549425e+00    1.4e+04     1.0e+00      1.722e+00
  87     88    779    2.36614193e+03    2.36614193e+03     1.06137015e+00    6.6e+03     1.0e+00      1.721e+00
  88     89    789    2.33863949e+03    2.33863949e+03     1.05487381e+00    1.4e+04     1.0e+00      1.719e+00
  89     90    796    2.31881967e+03    2.31881967e+03     1.05306182e+00    8.4e+03     1.0e+00      1.719e+00
  90     91    806    2.26795566e+03    2.26795566e+03     1.03574104e+00    9.8e+03     1.0e+00      1.715e+00
  91     92    811    2.22723800e+03    2.22723800e+03     1.03469853e+00    7.5e+03     1.0e+00      1.715e+00
  92     93    821    2.12897822e+03    2.12897822e+03     9.98493395e-01    1.4e+04     1.0e+00      1.706e+00
  93     94    827    2.04380523e+03    2.04380523e+03     9.97591149e-01    5.3e+03     1.0e+00      1.706e+00
  94     95    837    1.95658371e+03    1.95658371e+03     9.61811557e-01    2.5e+04     1.0e+00      1.697e+00
  95     96    841    1.89287082e+03    1.89287082e+03     9.61854298e-01    1.4e+04     1.0e+00      1.697e+00
  96     97    848    1.87249124e+03    1.87249124e+03     9.60974860e-01    2.7e+03     1.0e+00      1.696e+00
  97     98    858    1.82339449e+03    1.82339449e+03     9.41871633e-01    1.9e+04     1.0e+00      1.691e+00
  98     99    862    1.79319914e+03    1.79319914e+03     9.41470344e-01    8.2e+03     1.0e+00      1.691e+00
  99    100    872    1.77269049e+03    1.77269049e+03     9.38175189e-01    7.3e+03     1.0e+00      1.690e+00
 100    101    882    1.75784861e+03    1.75784861e+03     9.34640781e-01    7.6e+03     1.0e+00      1.689e+00
 101    102    892    1.74356543e+03    1.74356543e+03     9.31728882e-01    7.4e+03     1.0e+00      1.689e+00
 102    103    902    1.72972646e+03    1.72972646e+03     9.28354846e-01    7.1e+03     1.0e+00      1.688e+00
 103    104    912    1.71616601e+03    1.71616601e+03     9.25569765e-01    7.2e+03     1.0e+00      1.687e+00
 104    105    922    1.70286791e+03    1.70286791e+03     9.22299295e-01    6.6e+03     1.0e+00      1.686e+00
 105    106    932    1.68978954e+03    1.68978954e+03     9.19594070e-01    6.9e+03     1.0e+00      1.685e+00
 106    107    942    1.67714821e+03    1.67714821e+03     9.16502018e-01    4.2e+03     1.0e+00      1.684e+00
 107    108    952    1.66469157e+03    1.66469157e+03     9.13880553e-01    6.6e+03     1.0e+00      1.684e+00
 108    109    962    1.65241150e+03    1.65241150e+03     9.10845566e-01    4.3e+03     1.0e+00      1.683e+00
 109    110    972    1.64030513e+03    1.64030513e+03     9.08283874e-01    6.4e+03     1.0e+00      1.682e+00
 110    111    982    1.62836919e+03    1.62836919e+03     9.05319877e-01    4.1e+03     1.0e+00      1.681e+00
 111    112    992    1.61715126e+03    1.61715126e+03     9.03035806e-01    3.5e+03     1.0e+00      1.681e+00
 112    113   1002    1.60610561e+03    1.60610561e+03     9.00158414e-01    4.3e+03     1.0e+00      1.680e+00
 113    114   1012    1.59520243e+03    1.59520243e+03     8.97920063e-01    3.6e+03     1.0e+00      1.679e+00
 114    115   1022    1.58444006e+03    1.58444006e+03     8.95092102e-01    4.5e+03     1.0e+00      1.678e+00
 115    116   1032    1.57380962e+03    1.57380962e+03     8.92898061e-01    3.6e+03     1.0e+00      1.678e+00
 116    117   1042    1.56331116e+03    1.56331116e+03     8.90117555e-01    4.6e+03     1.0e+00      1.677e+00
 117    118   1052    1.55295287e+03    1.55295287e+03     8.87968614e-01    3.5e+03     1.0e+00      1.676e+00
