
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 30
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 20: 0
====== Angle Number  2 of 20: 9.473684e+00
====== Angle Number  3 of 20: 1.894737e+01
====== Angle Number  4 of 20: 2.842105e+01
====== Angle Number  5 of 20: 3.789474e+01
====== Angle Number  6 of 20: 4.736842e+01
====== Angle Number  7 of 20: 5.684211e+01
====== Angle Number  8 of 20: 6.631579e+01
====== Angle Number  9 of 20: 7.578947e+01
====== Angle Number  10 of 20: 8.526316e+01
====== Angle Number  11 of 20: 9.473684e+01
====== Angle Number  12 of 20: 1.042105e+02
====== Angle Number  13 of 20: 1.136842e+02
====== Angle Number  14 of 20: 1.231579e+02
====== Angle Number  15 of 20: 1.326316e+02
====== Angle Number  16 of 20: 1.421053e+02
====== Angle Number  17 of 20: 1.515789e+02
====== Angle Number  18 of 20: 1.610526e+02
====== Angle Number  19 of 20: 1.705263e+02
====== Angle Number  20 of 20: 180
>> >> >> >> >> >> ===================== 20
ans =
        2640        2000
ans =
         528        2000
J1 =
        2000
J2 =
   400
J3 =
        2000
Elapsed time is 112.853325 seconds.
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  44     45    407    3.63296267e-05    3.33170271e-05     3.01259957e-06    2.8e-03     1.0e+00      1.378e-01
  45     46    413    3.53574462e-05    3.31511375e-05     2.20630871e-06    1.2e-03     1.0e+00      1.377e-01
  46     47    423    3.45425617e-05    3.24062568e-05     2.13630492e-06    2.9e-03     1.0e+00      1.374e-01
  47     48    433    3.38311044e-05    3.17277358e-05     2.10336858e-06    1.7e-03     1.0e+00      1.372e-01
  48     49    443    3.32428682e-05    3.11823438e-05     2.06052441e-06    3.4e-03     1.0e+00      1.370e-01
  49     50    453    3.26937906e-05    3.06530066e-05     2.04078395e-06    1.4e-03     1.0e+00      1.368e-01
  50     51    463    3.22030705e-05    3.01888099e-05     2.01426056e-06    3.2e-03     1.0e+00      1.366e-01
  51     52    473    3.17355670e-05    2.97505077e-05     1.98505939e-06    1.1e-03     1.0e+00      1.365e-01
  52     53    483    3.12959616e-05    2.93295886e-05     1.96637300e-06    3.0e-03     1.0e+00      1.363e-01
  53     54    493    3.08708565e-05    2.89329500e-05     1.93790653e-06    1.1e-03     1.0e+00      1.362e-01
  54     55    503    3.04611990e-05    2.85434876e-05     1.91771138e-06    2.9e-03     1.0e+00      1.360e-01
  55     56    513    3.00627684e-05    2.81681851e-05     1.89458336e-06    1.1e-03     1.0e+00      1.359e-01
  56     57    523    2.96756265e-05    2.78046872e-05     1.87093926e-06    2.9e-03     1.0e+00      1.357e-01
  57     58    533    2.92985267e-05    2.74454054e-05     1.85312134e-06    1.0e-03     1.0e+00      1.356e-01
  58     59    543    2.89310010e-05    2.71033961e-05     1.82760495e-06    2.8e-03     1.0e+00      1.354e-01
  59     60    553    2.85723032e-05    2.67583344e-05     1.81396879e-06    1.0e-03     1.0e+00      1.353e-01
  60     61    563    2.82221907e-05    2.64355742e-05     1.78661652e-06    2.7e-03     1.0e+00      1.351e-01
  61     62    573    2.78802151e-05    2.61037262e-05     1.77648888e-06    9.7e-04     1.0e+00      1.350e-01
  62     63    583    2.75461242e-05    2.57983336e-05     1.74779064e-06    2.7e-03     1.0e+00      1.348e-01
  63     64    593    2.72195909e-05    2.54790514e-05     1.74053946e-06    9.4e-04     1.0e+00      1.347e-01
  64     65    603    2.69003718e-05    2.51894953e-05     1.71087648e-06    2.6e-03     1.0e+00      1.346e-01
  65     66    613    2.65881996e-05    2.48821879e-05     1.70601171e-06    9.1e-04     1.0e+00      1.345e-01
  66     67    623    2.62828459e-05    2.46071761e-05     1.67566979e-06    2.6e-03     1.0e+00      1.343e-01
  67     68    633    2.59840789e-05    2.43112640e-05     1.67281485e-06    8.9e-04     1.0e+00      1.342e-01
  68     69    643    2.56916866e-05    2.40496810e-05     1.64200562e-06    2.5e-03     1.0e+00      1.340e-01
  69     70    653    2.54054622e-05    2.37645970e-05     1.64086520e-06    8.6e-04     1.0e+00      1.339e-01
  70     71    663    2.51252097e-05    2.35154638e-05     1.60974589e-06    2.5e-03     1.0e+00      1.338e-01
  71     72    673    2.48507419e-05    2.32406567e-05     1.61008517e-06    8.4e-04     1.0e+00      1.337e-01
  72     73    683    2.45818775e-05    2.30030989e-05     1.57877866e-06    2.4e-03     1.0e+00      1.335e-01
  73     74    693    2.43184463e-05    2.27380436e-05     1.58040274e-06    8.2e-04     1.0e+00      1.334e-01
  74     75    703    2.40603217e-05    2.25116014e-05     1.54872029e-06    2.4e-03     1.0e+00      1.333e-01
  75     76    713    2.38074292e-05    2.22559154e-05     1.55151380e-06    8.0e-04     1.0e+00      1.332e-01
  76     77    723    2.35596765e-05    2.20402745e-05     1.51940203e-06    2.3e-03     1.0e+00      1.330e-01
  77     78    733    2.33174256e-05    2.17942004e-05     1.52322528e-06    7.8e-04     1.0e+00      1.329e-01
  78     79    743    2.30798262e-05    2.15879203e-05     1.49190587e-06    2.3e-03     1.0e+00      1.328e-01
  79     80    753    2.28467431e-05    2.13503717e-05     1.49637136e-06    7.6e-04     1.0e+00      1.327e-01
  80     81    763    2.26180413e-05    2.11528670e-05     1.46517425e-06    2.2e-03     1.0e+00      1.326e-01
  81     82    773    2.23935997e-05    2.09232224e-05     1.47037731e-06    7.5e-04     1.0e+00      1.325e-01
  82     83    783    2.21732942e-05    2.07339689e-05     1.43932528e-06    2.2e-03     1.0e+00      1.323e-01
  83     84    793    2.19570130e-05    2.05118262e-05     1.44518688e-06    7.3e-04     1.0e+00      1.323e-01
  84     85    803    2.17446411e-05    2.03303293e-05     1.41431181e-06    2.2e-03     1.0e+00      1.321e-01
  85     86    813    2.15360750e-05    2.01153125e-05     1.42076248e-06    7.2e-04     1.0e+00      1.320e-01
  86     87    823    2.13312076e-05    1.99411234e-05     1.39008413e-06    2.1e-03     1.0e+00      1.319e-01
  87     88    833    2.11299433e-05    1.97328802e-05     1.39706318e-06    7.1e-04     1.0e+00      1.318e-01
  88     89    843    2.09321829e-05    1.95655689e-05     1.36661402e-06    2.1e-03     1.0e+00      1.317e-01
