
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 100000000.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  47     48    436    1.77202734e+03    1.47209039e+03     2.99936958e-06    1.6e+04     1.0e+00      1.189e+00
  48     49    446    1.72937880e+03    1.43856369e+03     2.90815114e-06    6.4e+03     1.0e+00      1.188e+00
  49     50    456    1.68866820e+03    1.40402136e+03     2.84646845e-06    1.5e+04     1.0e+00      1.187e+00
  50     51    466    1.64977803e+03    1.37335520e+03     2.76422828e-06    6.2e+03     1.0e+00      1.186e+00
  51     52    476    1.61258725e+03    1.34184182e+03     2.70745435e-06    1.5e+04     1.0e+00      1.185e+00
  52     53    486    1.57699686e+03    1.31370077e+03     2.63296098e-06    6.0e+03     1.0e+00      1.184e+00
  53     54    496    1.54292818e+03    1.28487416e+03     2.58054020e-06    1.4e+04     1.0e+00      1.183e+00
  54     55    506    1.51030934e+03    1.25903947e+03     2.51269872e-06    5.8e+03     1.0e+00      1.183e+00
  55     56    516    1.47901276e+03    1.23259932e+03     2.46413440e-06    1.4e+04     1.0e+00      1.181e+00
  56     57    526    1.44896432e+03    1.20874655e+03     2.40217777e-06    5.6e+03     1.0e+00      1.181e+00
  57     58    536    1.42008782e+03    1.18437877e+03     2.35709050e-06    1.3e+04     1.0e+00      1.180e+00
  58     59    546    1.39233388e+03    1.16230561e+03     2.30028265e-06    5.4e+03     1.0e+00      1.179e+00
  59     60    556    1.36562929e+03    1.13980522e+03     2.25824070e-06    1.3e+04     1.0e+00      1.178e+00
  60     61    566    1.33991699e+03    1.11931187e+03     2.20605114e-06    5.2e+03     1.0e+00      1.178e+00
  61     62    576    1.31514035e+03    1.09846340e+03     2.16676947e-06    1.2e+04     1.0e+00      1.177e+00
  62     63    586    1.29125361e+03    1.07939211e+03     2.11861505e-06    5.1e+03     1.0e+00      1.176e+00
  63     64    596    1.26820786e+03    1.06002605e+03     2.08181812e-06    1.2e+04     1.0e+00      1.175e+00
  64     65    606    1.24596338e+03    1.04223715e+03     2.03726229e-06    4.9e+03     1.0e+00      1.174e+00
  65     66    616    1.22447743e+03    1.02420692e+03     2.00270517e-06    1.1e+04     1.0e+00      1.174e+00
